# site=Albenga, Liguria, IT
# latitude=44.05
# longitude=8.21
# elevation_m=9.0
# source=Open-Meteo historical weather API (ERA5 / ERA5-Land reanalysis), CC BY 4.0
# utc_offset_h=1.0
# start_local=2023-01-01T00:00
# fetched=2026-09-20T11:36+00:00
# unit:shortwave_radiation=W/m²
# kind:shortwave_radiation=preceding_mean
# unit:soil_moisture_0_to_7cm=m³/m³
# kind:soil_moisture_0_to_7cm=instant
# unit:temperature_2m=°C
# kind:temperature_2m=instant
# unit:relative_humidity_2m=%
# kind:relative_humidity_2m=instant
# unit:precipitation=mm
# kind:precipitation=preceding_mean
time,shortwave_radiation,soil_moisture_0_to_7cm,temperature_2m,relative_humidity_2m,precipitation
2023-01-01T00:00,0,0.339,13.4,94,0.2
2023-01-01T01:00,0,0.337,12.8,94,0.1
2023-01-01T02:00,0,0.336,13.2,93,0
2023-01-01T03:00,0,0.336,13,94,0
2023-01-01T04:00,0,0.336,13.4,92,0
2023-01-01T05:00,0,0.336,13.7,91,0
2023-01-01T06:00,0,0.336,13.4,92,0
2023-01-01T07:00,0,0.339,13.2,93,0.3
2023-01-01T08:00,0,0.344,13.4,92,0.5
2023-01-01T09:00,7,0.348,13.1,96,0.4
2023-01-01T10:00,27,0.351,13.6,93,0.2
2023-01-01T11:00,49,0.351,13.7,92,0.1
2023-01-01T12:00,59,0.351,13.7,91,0
2023-01-01T13:00,93,0.363,13.2,93,0
2023-01-01T14:00,82,0.363,13.7,92,0.1
2023-01-01T15:00,54,0.362,13.6,93,0.1
2023-01-01T16:00,36,0.361,13.6,94,0
2023-01-01T17:00,9,0.36,13.2,96,0
2023-01-01T18:00,0,0.36,13.1,95,0
2023-01-01T19:00,0,0.359,13.1,94,0
2023-01-01T20:00,0,0.358,13.3,93,0
2023-01-01T21:00,0,0.357,13,95,0
2023-01-01T22:00,0,0.357,13.6,91,0
2023-01-01T23:00,0,0.356,13,93,0
2023-01-02T00:00,0,0.355,14,87,0
2023-01-02T01:00,0,0.358,13.1,89,0
2023-01-02T02:00,0,0.357,13.6,91,0
2023-01-02T03:00,0,0.357,12.9,93,0
2023-01-02T04:00,0,0.357,13.3,92,0.1
2023-01-02T05:00,0,0.358,13.1,90,0.1
2023-01-02T06:00,0,0.359,13.3,88,0.1
2023-01-02T07:00,0,0.359,13.1,89,0.1
2023-01-02T08:00,0,0.359,13.1,89,0.1
2023-01-02T09:00,12,0.358,13.3,89,0
2023-01-02T10:00,39,0.357,13.6,91,0
2023-01-02T11:00,98,0.357,13.7,92,0
2023-01-02T12:00,200,0.356,13.9,92,0
2023-01-02T13:00,252,0.36,14.2,85,0
2023-01-02T14:00,83,0.361,14,87,0.2
2023-01-02T15:00,100,0.362,14.1,87,0.2
2023-01-02T16:00,59,0.362,13.8,89,0.1
2023-01-02T17:00,13,0.363,13.4,90,0.2
2023-01-02T18:00,0,0.37,13.3,93,0.6
2023-01-02T19:00,0,0.377,13.4,94,0.7
2023-01-02T20:00,0,0.385,13.6,95,0.7
2023-01-02T21:00,0,0.391,14,94,0.7
2023-01-02T22:00,0,0.392,13.8,95,0.3
2023-01-02T23:00,0,0.396,13.3,93,0.6
2023-01-03T00:00,0,0.393,12.9,87,0.1
2023-01-03T01:00,0,0.359,13.5,86,0
2023-01-03T02:00,0,0.359,13.3,85,0
2023-01-03T03:00,0,0.358,12.9,86,0
2023-01-03T04:00,0,0.358,12.9,85,0.1
2023-01-03T05:00,0,0.36,12.7,85,0.3
2023-01-03T06:00,0,0.363,12.6,88,0.3
2023-01-03T07:00,0,0.363,13.2,82,0.1
2023-01-03T08:00,0,0.362,13.1,81,0
2023-01-03T09:00,16,0.361,13.3,80,0
2023-01-03T10:00,91,0.36,14.3,78,0
2023-01-03T11:00,157,0.359,15.1,75,0
2023-01-03T12:00,243,0.359,15.5,73,0
2023-01-03T13:00,299,0.355,15.3,75,0
2023-01-03T14:00,313,0.354,15.9,73,0
2023-01-03T15:00,237,0.353,16.1,72,0
2023-01-03T16:00,126,0.352,15.2,75,0
2023-01-03T17:00,28,0.352,13.9,78,0
2023-01-03T18:00,0,0.351,13.4,78,0
2023-01-03T19:00,0,0.351,13.3,79,0
2023-01-03T20:00,0,0.35,13,79,0
2023-01-03T21:00,0,0.35,12.6,81,0
2023-01-03T22:00,0,0.349,11.4,84,0
2023-01-03T23:00,0,0.349,10.8,86,0
2023-01-04T00:00,0,0.349,10.3,87,0
2023-01-04T01:00,0,0.349,11.2,83,0
2023-01-04T02:00,0,0.349,10.7,85,0
2023-01-04T03:00,0,0.348,10.4,85,0
2023-01-04T04:00,0,0.348,10.3,84,0
2023-01-04T05:00,0,0.348,10.1,84,0
2023-01-04T06:00,0,0.347,9.8,85,0
2023-01-04T07:00,0,0.347,9.8,84,0
2023-01-04T08:00,0,0.347,9.5,85,0
2023-01-04T09:00,31,0.347,10.8,81,0
2023-01-04T10:00,132,0.346,13.4,78,0
2023-01-04T11:00,234,0.346,15.1,66,0
2023-01-04T12:00,313,0.345,15.3,69,0
2023-01-04T13:00,341,0.341,15.3,71,0
2023-01-04T14:00,261,0.341,15.3,71,0
2023-01-04T15:00,144,0.34,14.5,75,0
2023-01-04T16:00,147,0.34,13.9,81,0
2023-01-04T17:00,35,0.34,13.4,81,0
2023-01-04T18:00,0,0.34,13.2,81,0
2023-01-04T19:00,0,0.339,13,82,0
2023-01-04T20:00,0,0.339,12.9,83,0
2023-01-04T21:00,0,0.339,13,84,0
2023-01-04T22:00,0,0.339,11.5,93,0
2023-01-04T23:00,0,0.339,11.2,96,0
