# site=SYNTHETIC demo trace, Liguria-like coastal site (NOT measured data)
# latitude=44.05
# longitude=8.21
# source=tools/make_demo_trace.py seed=2023 (stand-in for the Open-Meteo archive)
# utc_offset_h=1.0
# start_local=2023-01-01T00:00
# unit:shortwave_radiation=W/m²
# kind:shortwave_radiation=preceding_mean
# unit:soil_moisture_0_to_7cm=m³/m³
# kind:soil_moisture_0_to_7cm=instant
# unit:temperature_2m=°C
# kind:temperature_2m=instant
# unit:relative_humidity_2m=%
# kind:relative_humidity_2m=instant
# unit:precipitation=mm
# kind:precipitation=preceding_mean
time,shortwave_radiation,soil_moisture_0_to_7cm,temperature_2m,relative_humidity_2m,precipitation
2023-01-01T00:00,0,0.2971,4.34,73,0
2023-01-01T01:00,0,0.299,3.57,79.7,0
2023-01-01T02:00,0,0.2973,3.72,76.5,0
2023-01-01T03:00,0,0.301,3.62,77.8,0
2023-01-01T04:00,0,0.3564,1.07,97,3.97
2023-01-01T05:00,0,0.3651,1.81,96.4,0.54
2023-01-01T06:00,0,0.366,4.05,78.9,0
2023-01-01T07:00,0,0.3666,4.99,70.5,0
2023-01-01T08:00,0,0.4286,4.39,88.9,4.62
2023-01-01T09:00,4.1,0.4193,7.08,70.6,0
2023-01-01T10:00,44.8,0.4122,8.65,66.9,0
2023-01-01T11:00,110.7,0.4065,9.87,62.3,0
2023-01-01T12:00,146,0.4028,10.91,56.2,0
2023-01-01T13:00,126.5,0.447,9.2,83.9,3
2023-01-01T14:00,103.2,0.4277,10.84,57.2,0
2023-01-01T15:00,58.8,0.4189,11.16,56.8,0
2023-01-01T16:00,34.6,0.4133,11.37,56.2,0
2023-01-01T17:00,6.6,0.4059,12.16,56,0
2023-01-01T18:00,0,0.4082,10.33,62.4,0
2023-01-01T19:00,0,0.404,10.35,57.8,0
2023-01-01T20:00,0,0.4027,9.09,64.8,0
2023-01-01T21:00,0,0.4009,8.09,61.3,0
2023-01-01T22:00,0,0.3976,7.16,70.1,0
2023-01-01T23:00,0,0.4149,3.71,93.8,0.92
2023-01-02T00:00,0,0.4107,3.2,77.6,0
2023-01-02T01:00,0,0.4045,3.52,77.2,0
2023-01-02T02:00,0,0.4011,2.56,79,0
2023-01-02T03:00,0,0.4013,3.36,77.1,0
2023-01-02T04:00,0,0.4019,3.92,73.7,0
2023-01-02T05:00,0,0.4035,4.83,75.7,0
2023-01-02T06:00,0,0.4014,5.33,69.6,0
2023-01-02T07:00,0,0.4007,5.92,69.3,0
2023-01-02T08:00,0,0.4003,5.81,71,0
